Tidstämpel,Hur erfaren är du inom programmering:,Hur svårt tycker du c# är:,Gillar du c#,Vilket språk tycker du är bäst
2022-03-21 11.51.33,6,8,8,C#
2022-03-21 11.52.00,5,7,6,HTML
2022-03-21 12.02.21,8,2,3,Visual Basic for Applications
2022-03-21 12.11.09,7,1,5,F#
2022-03-21 12.12.31,7,6,8,C++
2022-03-21 12.13.04,3,2,1,C
2022-03-21 12.21.27,3,7,5,english
2022-03-21 12.30.46,3,6,9,C#
2022-03-21 13.00.06,2,3,9,Vet inte
2022-03-21 13.06.03,3,8,8,C#
2022-03-21 14.09.19,7,6,9,C#
2022-03-21 14.20.17,4,7,10,C++/C#
2022-03-21 14.23.17,3,4,10,C#
2022-03-21 14.34.47,10,1,10,C++
2022-03-21 14.43.37,2,8,10,c#
2022-03-21 15.34.01,1,5,10,C#
2022-03-21 16.08.18,3,7,8,C#
2022-03-21 18.27.26,1,7,5,Svenska
2022-03-21 21.45.11,2,6,6,C#
2022-03-21 21.53.40,8,7,6,C++
2022-03-21 22.02.10,6,8,6,CSS
2022-03-22 13.28.07,4,5,7,Python
2022-03-22 14.37.28,5,7,10,HTML
2022-03-22 20.48.08,3,3,9,Beror på användningsområde!
2022-03-23 01.48.59,3,7,10,C#